district,spring_id,date,rainfall_mm,discharge_lpm,forest_cover_index
Pauri Garhwal,PauriGarhwal_S1,2011-10-01,102.2,50.84,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-11-01,51.0,42.66,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-12-01,51.8,36.64,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-01-01,28.6,37.96,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-02-01,29.4,36.18,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-03-01,38.4,37.11,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-04-01,52.3,38.78,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-05-01,79.3,35.8,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-06-01,217.6,39.34,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-07-01,335.5,52.81,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-08-01,274.2,55.13,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-09-01,186.3,50.64,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-10-01,97.9,47.01,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-11-01,43.1,41.97,0.62
Pauri Garhwal,PauriGarhwal_S1,2012-12-01,47.0,36.38,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-01-01,25.4,38.95,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-02-01,23.8,36.42,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-03-01,37.6,36.17,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-04-01,55.1,36.53,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-05-01,66.7,40.89,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-06-01,213.6,36.92,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-07-01,289.2,42.4,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-08-01,245.7,56.24,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-09-01,148.3,47.87,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-10-01,77.8,42.54,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-11-01,37.1,39.93,0.62
Pauri Garhwal,PauriGarhwal_S1,2013-12-01,39.4,31.87,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-01-01,34.0,32.53,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-02-01,29.5,31.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-03-01,41.5,32.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-04-01,61.1,35.27,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-05-01,91.9,36.63,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-06-01,267.0,38.12,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-07-01,353.2,45.44,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-08-01,309.6,48.07,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-09-01,218.5,51.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-10-01,81.7,44.25,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-11-01,42.8,37.21,0.62
Pauri Garhwal,PauriGarhwal_S1,2014-12-01,41.8,34.95,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-01-01,25.1,33.83,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-02-01,29.7,33.66,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-03-01,41.6,32.99,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-04-01,49.8,34.16,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-05-01,77.9,32.51,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-06-01,231.6,35.04,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-07-01,331.5,45.35,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-08-01,327.6,53.12,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-09-01,226.4,49.62,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-10-01,87.5,45.32,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-11-01,39.0,34.95,0.62
Pauri Garhwal,PauriGarhwal_S1,2015-12-01,35.1,32.12,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-01-01,29.2,33.3,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-02-01,30.2,28.37,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-03-01,44.5,29.43,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-04-01,61.7,29.86,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-05-01,101.6,29.33,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-06-01,252.8,34.32,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-07-01,338.9,46.23,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-08-01,286.2,48.92,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-09-01,175.7,46.76,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-10-01,90.0,41.68,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-11-01,46.6,36.56,0.62
Pauri Garhwal,PauriGarhwal_S1,2016-12-01,53.4,31.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-01-01,33.0,34.06,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-02-01,29.4,30.74,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-03-01,41.5,29.02,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-04-01,56.4,29.99,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-05-01,86.4,29.35,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-06-01,286.4,31.87,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-07-01,314.3,44.11,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-08-01,326.4,48.27,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-09-01,184.4,51.0,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-10-01,98.6,35.94,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-11-01,47.3,34.2,0.62
Pauri Garhwal,PauriGarhwal_S1,2017-12-01,45.3,28.91,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-01-01,28.3,31.0,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-02-01,30.9,29.03,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-03-01,43.1,26.6,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-04-01,53.8,31.27,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-05-01,80.3,29.48,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-06-01,241.8,30.95,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-07-01,369.4,38.6,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-08-01,302.0,46.25,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-09-01,192.0,44.84,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-10-01,91.5,37.28,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-11-01,49.4,32.46,0.62
Pauri Garhwal,PauriGarhwal_S1,2018-12-01,45.5,30.04,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-01-01,30.6,31.13,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-02-01,29.1,27.81,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-03-01,47.4,26.05,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-04-01,57.1,30.59,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-05-01,76.2,28.99,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-06-01,200.6,32.12,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-07-01,350.6,37.78,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-08-01,320.3,44.77,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-09-01,180.4,44.05,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-10-01,81.9,39.13,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-11-01,47.2,33.41,0.62
Pauri Garhwal,PauriGarhwal_S1,2019-12-01,38.5,28.42,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-01-01,27.3,28.0,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-02-01,25.2,28.55,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-03-01,38.9,25.76,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-04-01,51.3,28.0,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-05-01,80.0,28.07,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-06-01,231.2,29.99,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-07-01,287.8,35.78,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-08-01,273.1,36.98,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-09-01,141.1,35.21,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-10-01,77.6,30.52,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-11-01,36.3,28.29,0.62
Pauri Garhwal,PauriGarhwal_S1,2020-12-01,35.2,26.35,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-01-01,25.4,29.17,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-02-01,28.0,27.45,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-03-01,34.9,24.81,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-04-01,52.2,26.8,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-05-01,75.1,26.59,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-06-01,202.9,27.81,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-07-01,309.5,34.88,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-08-01,271.7,41.04,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-09-01,187.4,37.15,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-10-01,77.2,35.25,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-11-01,36.9,26.29,0.62
Pauri Garhwal,PauriGarhwal_S1,2021-12-01,38.4,25.81,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-01-01,31.5,29.15,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-02-01,28.4,25.66,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-03-01,47.0,26.95,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-04-01,63.3,26.1,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-05-01,112.1,27.47,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-06-01,286.1,28.91,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-07-01,318.7,37.03,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-08-01,303.8,37.3,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-09-01,178.4,38.79,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-10-01,88.9,30.47,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-11-01,47.8,28.35,0.62
Pauri Garhwal,PauriGarhwal_S1,2022-12-01,51.1,26.77,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-01-01,25.3,25.94,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-02-01,22.1,23.82,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-03-01,39.6,24.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-04-01,48.9,24.31,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-05-01,76.8,26.23,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-06-01,198.8,23.88,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-07-01,291.7,31.38,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-08-01,229.6,32.55,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-09-01,153.3,30.68,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-10-01,93.8,31.53,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-11-01,36.0,27.87,0.62
Pauri Garhwal,PauriGarhwal_S1,2023-12-01,36.6,23.07,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-01-01,47.2,22.09,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-02-01,34.7,20.69,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-03-01,55.7,23.01,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-04-01,78.6,27.5,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-05-01,130.7,26.05,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-06-01,282.0,27.0,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-07-01,412.7,35.31,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-08-01,406.5,37.14,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-09-01,257.4,39.29,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-10-01,111.3,33.26,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-11-01,56.8,26.38,0.62
Pauri Garhwal,PauriGarhwal_S1,2024-12-01,51.1,24.94,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-01-01,28.3,24.07,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-02-01,29.5,23.34,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-03-01,41.5,21.79,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-04-01,60.0,24.06,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-05-01,93.8,25.7,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-06-01,234.3,23.94,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-07-01,327.2,29.81,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-08-01,290.5,37.47,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-09-01,188.0,33.11,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-10-01,81.8,30.94,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-11-01,44.5,23.73,0.62
Pauri Garhwal,PauriGarhwal_S1,2025-12-01,43.1,24.24,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-01-01,28.8,49.29,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-02-01,33.3,37.65,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-03-01,50.6,36.77,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-04-01,52.9,38.89,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-05-01,84.3,40.76,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-06-01,253.5,38.79,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-07-01,336.4,56.23,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-08-01,313.3,58.84,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-09-01,190.0,61.99,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-10-01,100.7,43.51,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-11-01,50.0,41.09,0.62
Pauri Garhwal,PauriGarhwal_S2,2005-12-01,47.3,35.68,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-01-01,36.4,37.07,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-02-01,32.7,38.25,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-03-01,54.2,37.08,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-04-01,64.8,38.39,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-05-01,112.6,39.24,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-06-01,279.5,43.34,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-07-01,380.1,52.01,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-08-01,331.6,64.04,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-09-01,250.3,60.16,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-10-01,103.9,53.3,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-11-01,50.8,42.92,0.62
Pauri Garhwal,PauriGarhwal_S2,2006-12-01,51.1,38.45,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-01-01,33.3,41.67,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-02-01,33.5,36.31,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-03-01,50.3,35.83,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-04-01,75.9,36.07,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-05-01,94.0,37.16,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-06-01,248.5,37.85,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-07-01,333.2,48.76,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-08-01,339.9,56.59,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-09-01,229.6,58.08,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-10-01,96.3,49.47,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-11-01,45.3,38.49,0.62
Pauri Garhwal,PauriGarhwal_S2,2007-12-01,45.4,38.05,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-01-01,34.9,37.67,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-02-01,34.4,35.24,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-03-01,46.8,34.24,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-04-01,67.1,37.15,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-05-01,99.7,37.8,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-06-01,268.0,36.71,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-07-01,387.5,50.7,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-08-01,335.2,59.58,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-09-01,225.7,52.66,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-10-01,99.3,48.1,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-11-01,50.5,36.22,0.62
Pauri Garhwal,PauriGarhwal_S2,2008-12-01,51.9,38.09,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-01-01,22.8,37.94,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-02-01,22.6,33.26,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-03-01,33.4,34.2,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-04-01,45.9,30.1,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-05-01,78.7,32.94,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-06-01,174.6,36.5,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-07-01,277.8,40.93,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-08-01,202.9,51.7,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-09-01,148.3,49.37,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-10-01,71.2,38.79,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-11-01,36.8,34.59,0.62
Pauri Garhwal,PauriGarhwal_S2,2009-12-01,37.2,34.18,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-01-01,32.6,36.43,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-02-01,32.3,31.3,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-03-01,53.8,33.65,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-04-01,66.1,37.69,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-05-01,90.4,32.33,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-06-01,244.2,34.36,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-07-01,342.1,45.46,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-08-01,349.1,51.19,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-09-01,220.7,55.02,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-10-01,106.3,45.15,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-11-01,48.6,33.96,0.62
Pauri Garhwal,PauriGarhwal_S2,2010-12-01,51.0,34.41,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-01-01,32.0,32.64,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-02-01,34.0,34.4,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-03-01,46.6,31.37,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-04-01,63.7,32.04,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-05-01,95.4,35.0,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-06-01,237.4,37.33,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-07-01,375.0,45.67,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-08-01,315.8,48.6,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-09-01,213.5,50.61,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-10-01,102.2,40.66,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-11-01,51.0,36.36,0.62
Pauri Garhwal,PauriGarhwal_S2,2011-12-01,51.8,30.38,0.62
Pauri Garhwal,PauriGarhwal_S2,2012-01-01,28.6,33.41,0.62
Pauri Garhwal,PauriGarhwal_S2,2012-02-01,29.4,29.93,0.62
Pauri Garhwal,PauriGarhwal_S2,2012-03-01,38.4,29.16,0.62
